,company_name,job_title,involvement,workplace_type,industry,employee_count,followers_count,link,posted_date,country,state,city,level,applicants,skills,job_class
162,IBM,Application Developer,Full-time,On-site,Information Technology & Services,10001,14946224,https://www.linkedin.com/jobs/view/3444036458/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=%2BxquidD0utnjvIHHWTRu4Q%3D%3D&trackingId=Rf33vZ9fU1whUEnJrMcWGQ%3D%3D&trk=flagship3_search_srp_jobs,1 day ago,India,Haryana,Gurgaon,Full-time,Not-given,"support, content management, java, design, documentation, debugging, enterprise system, framework, artificial intelligence, ai, blockchain, software, collaboration, business",Class 2
163,IBM,Application Developer,Full-time,On-site,Information Technology & Services,10001,14946223,https://www.linkedin.com/jobs/view/3444036459/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=%2BxquidD0utnjvIHHWTRu4Q%3D%3D&trackingId=58E1UOoXuXQCVjxV1gxzMQ%3D%3D&trk=flagship3_search_srp_jobs,1 day ago,India,Haryana,Gurgaon,Full-time,Not-given,"support, content management, java, design, documentation, debugging, enterprise system, framework, artificial intelligence, ai, blockchain, software, collaboration, business",Class 2
164,Sutherland,Associate - Customer Service,Full-time,Hybrid,Information Technology & Services,10001,503061,https://www.linkedin.com/jobs/view/3447656165/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=%2BxquidD0utnjvIHHWTRu4Q%3D%3D&trackingId=AiQX%2F0%2B%2BQG0cGPYP6r2FIw%3D%3D&trk=flagship3_search_srp_jobs,5 hours ago,India,Tamil Nadu,Chennai,Entry level,8.0,"support, schedule, back office, business process, analytics",Class 1
165,IndiGo (InterGlobe Aviation Ltd),Senior Executive- AOCS in the role of Customer Sevices/ Security/ Ramp,Full-time,On-site,Airlines/Aviation,10001,407397,https://www.linkedin.com/jobs/view/3427226448/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=%2BxquidD0utnjvIHHWTRu4Q%3D%3D&trackingId=286zUthA%2FIGNlDHIAFaeOg%3D%3D&trk=flagship3_search_srp_jobs,2 weeks ago,India,Telangana,Greater Hyderabad Area,Mid-Senior level,145.0,security,Class 1
166,EY,Operations Technician,Full-time,On-site,Information Technology & Services,10001,7118111,https://www.linkedin.com/jobs/view/3446310858/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=%2BxquidD0utnjvIHHWTRu4Q%3D%3D&trackingId=3AgiAj%2BMBnWIA6QQgWrQCA%3D%3D&trk=flagship3_search_srp_jobs,23 hours ago,India,Haryana,Gurugram,Mid-Senior level,28.0,"support, project management, deployment, ambiguity, workload, software, computer science, business",Class 4
168,Genpact,AM-F&A-INS016836,Full-time,On-site,Information Technology & Services,10001,2433547,https://www.linkedin.com/jobs/view/3427458204/?eBP=CwEAAAGF0vJDnukuKpp2swQPc8QO3HKweaQUZuXaEHZo4o82xBW6JBbw8-A8UNAVJ-i6C7rFBN_kTklzMKPzwIyQ2v5YZNH9huy09mHz1Qya-_1-noMlhiqOHhxaCe8h-E9YeUFUlEDVOVFdSVEj2DCcEaCJnueQHHRBo9HHWkk16eCFj6sNl21zvRZ4TViP1MIV61CxhnJVV8wUIAvr96MAUSd50lJ1jbORO_42Cdnjqg7_nABNC_bqkzfPV8WZD242XZBaqlx0B6wTbPXPKUx6mxTyVCqPTSs5FgqaDmC7SPmctgoVC-tpQbKCUJbNc4RMBS69E9MJVndo2xL02Ijkd2Spj7McBjJU&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=YPLCjuZtBiIZh%2FG9z8l%2B7g%3D%3D&trackingId=4hm3YMfD0K9u%2FqmKTeYHCw%3D%3D&trk=flagship3_search_srp_jobs,2 weeks ago,India,Haryana,Gurugram,Associate,58.0,"twitter, accounting, schedule, framework, business",Class 4
169,Appen,Search Engine Evaluation,Part-time,Remote,Information Technology & Services,750,894588,https://www.linkedin.com/jobs/view/3426211139/?eBP=CwEAAAGF0vJDngj7SfyogNMRzHRh9M2trFuITn0Jaw2SO3E0u2rmqZ-RkjRa9QEzhov8mDm4PRj27CD3nohzAaUg2FFVkl1CDchUYA9AssJ7qQCHSAtjnNYACgsQsDrR7UZ_IYUzHzXtCAzE63qnUsDHa5uRqX5ozfpDFVzx6aeCLHceT2m8ki6YzKHihLlx53w36_4Zp7WXSALRSGqpDEzOA26dUakD7Q-3x3vILJMIYTGiBCBSspWHZsD_ei4DDycYle9vgpQx1XOE_1W1WPbg1okPjkAbs2lXB9LjhzicD-OmsXErgg0y3l-Fck2yUbqydaWvv3JKksu6kASfPv0CujZYr0kvOw&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=YPLCjuZtBiIZh%2FG9z8l%2B7g%3D%3D&trackingId=xkKGoIeJG7RsXkXL0JFmZw%3D%3D&trk=flagship3_search_srp_jobs,1 week ago,India,Maharashtra,Vasai Virar,Part-time,27.0,"specification, artificial intelligence, search engine, ai",Class 1
170,Accenture in India,Workforce Services Associate-Workforce Services,Full-time,On-site,Information Technology & Services,10001,1551697,https://www.linkedin.com/jobs/view/3433156273/?eBP=CwEAAAGF0vJDnv4TNsKkZ9tBL3DjSnNd0kWQcJ9xCX4E7yOlT2pMqgQiLJYKiVxSH9VEBCizMqNKK_Ps8DilVuUnRT77AR-vtjAg4atC9eIH5_zV6fN9TSocRLneGSw1YLTJKSStwFQJDmFpTgT2lZaJvwEb_x-UhmpEZn4ER0YZep4QSc-LrJiKCLwOrkaEvHalzB-_6w-jp0M0ikr3jPpyIoN4xQM-MAv_dY3r6rYA15Ga7HIE43CMbbGmDOKFiUI0-Aqn4BppVyicAN-AXEJiJoIsyEbILx3nbkg0cZBgzgxVM4VN3O4Cfa5eR_AapZq7sg9a1StU6vdv0WGIGAuUoP7lPS3RVKkWsaTeL7yCr9lWhSI10D2nKI-JH33R2NzaWEFExw&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=YPLCjuZtBiIZh%2FG9z8l%2B7g%3D%3D&trackingId=HvfPvsHfhaObEYjNkNZOOQ%3D%3D&trk=flagship3_search_srp_jobs,1 week ago,India,Karnataka,Bengaluru,Entry level,53.0,"schedule, security, interaction, analytics, business",Class 1
171,First Point Creations,Operations,Full-time,On-site,Marketing & Advertising,30,1402,https://www.linkedin.com/jobs/view/3446788302/?eBP=JOB_SEARCH_ORGANIC&refId=YPLCjuZtBiIZh%2FG9z8l%2B7g%3D%3D&trackingId=sea9wDV%2BHyzWXDkYJGVB8Q%3D%3D&trk=flagship3_search_srp_jobs,18 hours ago,India,Delhi,Delhi Cantonment,Internship,2.0,"certificate, documentation, business",Class 1
172,Wells Fargo,Securities Operations Representative,Full-time,On-site,Financial Services,10001,2081917,https://www.linkedin.com/jobs/view/3446502807/?eBP=CwEAAAGF0vJDnnNmiDnTiuAE-2-kQ74Oi-mrMjeCnGJie1eY0pV2eSwsXgHVsk0zWyBosRr7WhR1FYt7ScpXQ0igsutWRO38-dkhzF_zRvy0JCj7e6hkQz9MpkuzAmf5XckgptY-5vB1-mTD_lkE0HpkfX6SDN2Aw3GfOQcu5N-oJdr8nnfAcvxdr7kEwCeB4pRDYkNKwGhxPuR4OOKCp4Uya6yZ46NOHw27jD_TcXVmUdSlS9GD95Zr1YgXBNH9BiLhPBBcbggkjKCtuPCnd8JSgVCOzUe-pG2bdp6ss6Ecg5Ze_kGA9G6sX4RfHW2d5chAFrKK1c63K1g1jzK4HyfLg_9M0zdcb7Y3IJ3q07Yd1XC3_ITj2_HJySZFiaFq0N6j27oqKg&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=YPLCjuZtBiIZh%2FG9z8l%2B7g%3D%3D&trackingId=7U4lVtom9D0vrG3OSL5mYg%3D%3D&trk=flagship3_search_srp_jobs,22 hours ago,India,Karnataka,Bengaluru,Associate,9.0,"support, business, monitoring, security",Class 4
